,cleaned_text
444,"I am walking to a store and I see a small crowd of people and see  cats up on the roof. I get a better look and one is a kitten persian and one is a larger cat. The kitten looks similar to my old cat Roscoe. They were trying to figure out how they were going to get them down. The kitten actually belonged to a lady who owned the pet store down the street, the other cat belonged to someone else. Then this one couple walked by and I over heard them saying that they could hear the cats meowing a few miles away. I walk off and start heading towards another store. I see some guys putting boxes in there so I walk in and see all these t-shirts. I start going through them and taking the ones I like that I find in my size. One had this very cool design on it depicting the sun. I go into another store which looks like a bedroom there is all this stuff there that is mine and I need to take it back to the house and pack it. There are  guys there with me and I ask them to help me collect this stuff and bring it back. So we are all picking up the clothes and stuff. I see several pair of shoes and decide not to take them because they are all ugly and I would never wear them. As we are leaving the room/store there is one final pair of shoes on the night table. They look like berkenstock  sandals but when i turn them over the strap is really weird looking, and I laugh thinking that i would never wear them. We leave the store and get back to the house. There is some type of quiz show going on downstairs. We stop and decide to participate. The first  questions I am unable to answer so I am like fuck it and head upstairs. As I get upstairs this guy is sliding down the stairs and runs into me. He looks high, I attempt to get around him. Suddenly I am the guy and this black lady is coming up the stairs saying she needs to give me a drug test. She hands me this pill that i am supposed to suck on and I guess if it changes colors it means I am high. I suck it and give it back to her and it had changed colors. I am in observation mode now and see the guy who was high and another woman walking next to a horse who is being ridden by a little girl. The woman looks a little disturbed that the high guy is there. Still in observation mode I switch scenes and there are  people on this small bus and they are heading to the house I am in. The are arguing about something. The wife seems to have the upper hand in the arguement and then the husband says something that seems to make the wife feel really guilty, it was a real low blow it seems in order to get the upper hand, she seemed upset. Then suddenly I am the woman and we pass Hugh Grant wearing a purple suit and walking down the street with a suitcase towards the house. I remember thinking that he didn't have enough money to take a cab from the town to the house. I ask the bus driver to pull over and pick him up. I am back in the house and I look out the window and I see some kids running as if they were running a marathon. Then I am in observation mode again. I am looking at  people driving in a car, towards the house. Jennifer Lopez is sitting in the back  and she is holding a huge plant. She looks very pretty and has on some sunglasses and was just sitting there quietly, I observed her for a few minutes. Back in the house again I look out another window and still see these kids running, one of them looks up at me. Then everyone is downstairs and Hugh Grant explains that the plant was not actually for Jennifer  that it was for... and I woke up. At one point in the last dream I remember seeing this diagram. It was a picture of the sun and then a line extended from that sun to another sun. Then another line extended and there was a circle with a triangle inside. I heard someone describing the diagram as it began to move. The  suns were rotating around eachother in the circle but kind of in a triangular pattern. Weird."
445,"Ok I remember just a small piece of this dream. It appears I am back in school or high school although it seems to be present time. I am in some class and the teacher needs me and another guy to help straighten some stuff up in the back of the class room. I am concerned about missing the notes I will need and missing out on some quiz. Then the class ends I come back to my desk and see this girl Susie Moore, who had been sitting by me. I look at the books she is carrying and my notepad with all my notes is sitting on top of her stuff. I think to myself that she stole my notes. She walks off and I call her name and she ignores me walking faster. I run up behind her and I think I grab her by the hair to get her to stop and then I grab my notes, call her a thief and walk off. That's all I really remember."
446," Last night I had a dream that I was at a party at a three-story house. It was kind of a big house. I had a notion that it was the Rosses that were hosting it, but I didn’t know who was hosting it. And there were like these tables around with these snack things. There were like two or three bowls of snacks at each table. And there was a pool at this house. And there was like this man. We were on the second floor and we were on a balcony overlooking the pool and this man was like giving us very specific instructions about how to open bags of snacks and serve them, and when to put more out and when to leave the bowls empty, and not to put too much out. And on further analysis, I think this man must have been Mace, Barbara’s husband, because when they sent us our invitation, they gave us real specific instructions as to when to come, where to park, don’t bring a gift, and please let other people sit down and eat when you’re done, and all kinds of stuff like that. So I think that’s where that came from. Also something very strange – the past two times I have dreamt about hearing the “Wee Sing” tape, I’ve been really, really scared and wanting to cling to Mom when “Blue Bird” is about to come on. I stopped having dreams like that a while ago, and whenever I would dream about the tape, it wouldn’t be scary. But now I’m starting to be scared when I have those dreams, but not when I wake up, just in the dream. So I dreamt that all of a sudden we were in this bedroom at the house and the tape was playing and “London Bridge” was on, and Mom was going to do something, she was going to fill up more bowls of snacks. And “Blue Bird” came on and I just clung to her and I was like, “Oh, my God, oh, my God, oh, my God, oh, my God” and I was ready to start crying and things. And then I slowly faded into consciousness and I woke up. I don’t know what all that’s about. But at least the good news is, is I don’t wake up really scared like I used to. I just wake up and it’s over, and I think about it and go, “Wow!” That’s strange."
447," Last night I had a dream that Mom and Dad both thought that I wanted a keyboard for Christmas and Mom didn’t know the difference between that and the sound board. And Dad – this is kind of funny – Dad found this like multi-track recorder that would record like ten minutes of audio and put these different little sounds on triggers, and it was kind of neat, but I don’t know, Mom said that it wasn’t the one. And then Uncle Fred told Mom and Dad what I really wanted. Next thing I knew, it was set up on a little tray like my typing keyboard is in my studio. Well, it was set up on a little tray in the TV cabinet in the living room, between the TV and the amplifier. And when Dad and I were sitting there listening to Celine Dion, I got up from the couch and moved the computer chair over in front of the TV cabinet and I pulled out that little tray, and we were hearing this the way it is, and I was trying to play it along with the CD, which I think it was a horrible job, but I don’t know. It was just a dream anyway. And then I stood up and I was going over to Dad to ask him how he thought I did. He was sound asleep. He was snoring away, which I thought it was pretty good because I really didn’t want him to see me and hear my anyway. Then the next time I sat down was when nobody was in the house, and I thought, “Okay, I am going to sit down and practice and do a decent job this time.” And I sat down and turned it on and it was not connected to the amplifier any more, so I sat down and started checking it out. The amplifier was as light as a feather, so I just lifted it off the shelf and turned it around and looked at the back of it, and it was nothing like I’m used to seeing when I’m conscious. There were no RCA  connections whatsoever. It looked more like the back of the car radio, which is probably because that’s what we were kind of doing like a few days ago. And I was trying to find a way to kind of jam some bare wire into some connection so that I could get this connection made and get this thing connected to the amplifier again. And just as I was doing that, I heard Mom and Dad coming home in the car and I had wires and connections and stuff all over the living room. And I didn’t want them to see that I had been messing around, so I met Dad at the door and said, “You can’t come in right now, I’m working on a surprise.” And he said, “Well, just guide me in, I’ll close my eyes.” And then I woke up, realized it was all a dream and said he can come in if he wants to. There’s no wires and stuff scattered all over everywhere; it’s a dream. That was weird."
448," Last night I had this crazy dream that I can’t remember what was going on. It was real clear in my head this morning, but Mom was snoring next to me and I didn’t want to wake her up by doing this then. But anyway, I dreamt that for some reason of other, the sink needed priming instead of the pump, in the kitchen sink. And for some reason we needed to run this great big hose from the pump outside into the kitchen, and we had to, instead of having the sink spray into the hose to prime the pump, we had to have the hose spray into the sink to prime the sink. And then, after spraying the hose into the sink faucet for a while, we had to spray the hose down into the garbage disposal and run the garbage disposal for a while. And it made the most horrible, horrible sound and it was the most horrible feeling to me. And somehow I had the notion that this had to be done because I like stayed too long at a party and left the sink running while I was gone or something stupid like that. And it made a sound that really scared me, and I was pretty sure, when I think about it now, I’m pretty sure I’ve heard it somewhere, but I don’t know where. So I know there was more to it, but I can’t remember now. That was kind of stupid."
449,"Here are the parts i remember... At one point I am at my old house where I grew up. I am walking up to the shopping center where someone is supposed to pick me up. It was night time. As I was walking I ran into this man. He pointed to a building down the street and said something to the effect that it was going to be demolished and I better leave. Then I saw something that said it would affect anyone within a  mile radius. Next I am with some people in a car we are driving to a night club I beleive. I don't think we ever got to the club. Then I am in some house and some people are sleeping. We go out and start going to these stores. I was looking for a store that sold rare books and other rare items. I got to this one store and this older man come up to me. I told him I was looking for rare items and then pointed out my nose ring to him and told him I got it at another shop that sold rare items. The walked me over to a desk and opened the drawer and pulled out this peach colored nose stud. I looked at it and it was way to wide to fit me. Then he proceeded to show me how to wear it, it was as if it snapped over the one I already had on. He said that you didn't even have to have your nose pierced to wear it. I am back at this house and I woke up one person saying we should all go to breakfast. Then we are at some diner and people are ordering things. One guy ordered some cheese sticks or something. I reminded everyone not to eat much since we were going out to breakfast. LOL Then we left the diner and went somewhere else. Not sure where we were exactly, but it was outside and there were a lot of people walking around. I remember there was this big grassy hill. Then I see a cop and think to myself that they must be coming for me because i left the diner without paying. And of course the cop and one other guy walked up saying I hadn't paid. I was like ""Oh my god I am so sorry I didn't mean to leave without paying"" and paid them what I owed. That's all I really remember. I know there was another part of the dream that consisted of the beach but can't remember specifics."
450," Last night I had a dream that Elizabeth and I were sitting out in the courtyard and we kind of lost track of what time it is, and I told her it was like : and it was the middle of the English class. So her and I went up the elevator, and the elevator was dark and I kind of lost her in the elevator, and then I proceeded to English class, but it was so late I didn’t want to go in without her. So I kind of ducked around down a flight of stairs and I kind of hid in a corner somewhere. And I was kind of like waiting for her, and she never came. And then I somehow made my way out to behind the gym and I was kind of walking back and forth out on the field while the people were having P.E. And then I made my way in into the girls’ locker room so I could get out. And I was getting ready to go out the front of the gym when I realized that the doors had Christmas decorations on them and they were all taped shut. They had like artificial pine bows with those crystal angels we saw at Eckards, and I got tangled in a bunch of wires because they had a TV and a VCR and stuff over there. And I dreamt that I was kind of like really skipping the last period too, so that it would look like I went home. And that’s all."
451,"Ok I remember  distinct parts to this dream, don't know if they were separate dreams or not. First part, I am in my mom's house, where I grew up. There was more to it then this but I only remember a portion where I was downstairs and water started rushing in. I ran into the bathroom and stood up on the toilet. Water was coming in and was a few feet deep. It was splashing in like big waves. I remember being scared that there might be sharks in the water. Next part of the dream. I am outside with some guys we are near a parking lot of an apartment complex. We are standing in the grass. I remember I had some weed  in my pocket. Then I see some cops, they walk up and one of the kinda frisks me, I think it's a lady cop. She stuck her hand in my pocket and pulled out the weed. I remember thinking I was going to be arrested but nothing happened. Then I am in my bedroom and I open the drawer and amidst all the crap in the drawer I see  baggies both with weed in them. I was hyped because I didn't know I had any. I put them together in the same back and hid it in the drawer. Next part of the dream. I was with some people, kind of a good guy/bad guy scenario. We are discussing some money that the bad guys owe us, and I guess they are going to wire transfer it or something. We leave but in the dream I am back with the bad guys observing what they are talking about and see that they are going to devise a plan to stop the money from transferring. Then I am in a dark cave like tunnel with some other people. We come to the end of one of the tunnels and we feel the wall, which is black, and it's soft. We realize it's a fake wall and begin to tear it down thinking that the bad guys are on the other side. That's all I remember."
452," I am with a large group of noisy veterans in a crowded restaurant. A menacing black man approaches. We argue. He begins shooting me point blank in the hip with a forty-five automatic, taunting me with every shot. I am screaming, “Stop it. Stop it.” Then I capitulate. He is right. I am wrong. I sense the bullets have missed my vital organs and that I will live. The next day I return with Ed W., who is dressed in full combat gear. I find the black man. With a small pair of scissors I quickly stab each lung twice, then puncture his heart. The skin of his chest fills with blood. “I’m sorry,” I say, mocking him. “I’m so very, very sorry.” I continue to taunt him until he is dead."
453,"Ok I only remember bits and peices, although I know why I had most of this dream you can read my comments below. Because I was so tired I didn't remember it all. I remember some situation where I kept getting called or paged and had to drive somewhere to fix an issue. I think it happened a few times so I was getting mad, it was night time and i was very tired. I remember feeling very tired in the dream. I can't for the live of me remember many details about this part. I do remember that i was finally ready to go home and go back to sleep but the person I was with was going to have to stop at some store. I remember thinking that last time he ended stopping at a bunch of stores and I wanted to get home. So I asked and made sure we were only going to stop at the one. Then I am at home, although not my home but it was in the dream. I am in the living room and my cat starts freaking out he hops up on the table and gets on his hind legs and is looking up at this light fixture. Something starts to come out of it. At first it looks like bugs, then I think it looks like bats. Of course if you think something in your dream it tends to go that route. So the small bug like creatures grew into bats. Although their heads were much bigger then normal and a bit animated. One of them was looking at me and kinda smiling. Then I was like, wait a minute this is not possible this has to be a dream. However I did not become lucid instead I woke up in my bed yet still dreaming, and was like whew just a dream. LOL dammit. Then some guy is in bed with me not sure who he was. We were kissing or something and I remember looking at his back and seeing this really huge scar right above his butt. In the dream I seemed to know why the scar was there and therefore it didn't bug me. It was as if it was the first time I was seeing it. Then I peek under the covers and I see that he is jacking off, I find it strange seeing that I was right there I would have gladly helped LOL and he actually had an orgasm, it was a bit odd in the dream. That was it I then woke up. "
454,"Most of my dreams jump all over the place this one was quite cohesive. Although I don't remember everything. I am with a friend of mine and she works for some Female Escort type service. She is telling me about it and that they have an event tonight. It's not like a normal Female Escort service, they don't go out on dates with guys or anything, they just hold parties are places like a restaurant and guys show up and just enjoy their company, no sex or anything is involved. She asked me if I wanted to come along to observe so I was like sure. Then she mentioned she needed to put on some makeup before she left. I remember we went into the bathroom so she could apply some makeup, we spoke more but I don't remember about what. Then we left and went to this restaurant. The guy who owned the company these females worked for was a nice looking black guy. As the get together got underway he came and sat down with me at booth and we were talking as if we already knew eachother. It seems he liked me and I had the feeling we were ""together"". We chatted for awhile but I don't remember the details. The restaurant was kind of dark, a lot of dark mahogany wood, very romantic feel to it, there were a lot of people there. Not just people that were there for the get together. I do remember at one point I asked him why he only had girls, why didn't he have any guys working for him, that I was sure some women would appreciate the company of a nice man for the evening. He showed me some photo of a guy who used to work for him  and just said that most guys weren't interested in that type of work. I decided I wanted to get out of there for awhile so I left and walked down the street into a theater. When I walked in there was some awards show going on, for some reason I remember it being the American Music Awards. I entered in the back where the stage was so I remember walking down the aisle towards the back looking for an empty seat. The seats were a light tan color. I came to a spot where there were about  empty seats at the end of two rows. I took the end seat in the  row. I looked up at the stage and they were interviewing some kid who was going to pick the winner for the next award and if he got it right he would win some prize. I guess he won because next thing I know he is walking down the aisle holding a surf board. I remember the kids face distinctly. He was only about  or  years old, he looked like he was phillipines or tibet, he was dark with dark brown hair and eyes and had an adorable face. The next person that got on stage asked if they could recite a poem first. The walked up tot he mic and said the poem was in memory of Lisa 'Left Eye' Lopez from TLC. She recited the poem which was only like  lines, and I can't for the life of me remember it. Then some white guy with blonde hair came and sat down next to me. I asked him if anyone was sitting here and he said no. Then he started to talk to me and we actually had a pretty indepth conversation but again I don't remember the details. He was flirting with me though and kept putting his hand on my leg. Then he stuck his finger in my ear and pulled it back out, I looked at him and laughed and hold him that I hoped he hadn't found any ear wax. LOL He said no he didn't. Then I decide it's time to go, so I head back to the restaurant. I get there and look around trying to find out where everyone is. I walk the long way around having to excuse myself as I walked between peoples tables, I emember having to move a few chairs out of the way. I finally made it back over to the booth. The black guy was still there, I sat down, and he asked where I went. I told him I just went out for a walk. That's all I remember."
455,"I had a short dream, I was in what looked like my mom's bedroom although it was changed around a bit. She had an armoire and in it was a TV. I opened the drawer and there were some video games. I picked one of them up and looked on the back. There were screen shots of the game, of these cute little characters. It was like a cuter version of Zelda or something. I remember thinking in the dream that I had already played this game or that maybe this was a newer version but that I had played one similar to it. That's all I remember."
456," As you can see, I’m kind of starting this tape off on a really bad foot because my singing voice is absolutely out of commission, and I was supposed to have a thing tonight, but I decided I wouldn’t be able to go because it’s not like my voice couldn’t do it, but my physical strength is like gone. So I’m glad it wasn’t any kind of a big audition or anything I had to do. I just hope that tomorrow is a big Christmas surprise for Mom and Dad and I hope I won’t have to disappoint the people I’ve invited. I just have to; there’s no way I can back out of tomorrow. Tonight is one thing, but not tomorrow. Anyway, to the point, this is right before Christmas. This happened to me last year. I had a dream last night that, well, I dreamt that I had to get up and go take my exam early in the morning, which I did that day. And I dreamt that I had some last minute audio editing to do on DP, and so I sat down and, first of all, the colors on the contrast were like all messed up and I like opened up one of those set up pages, you know how they go. I was having Mom read things off to me and I wasn’t making sense of it, and I was getting more and more confused and I kept losing the cursor, as I often do. And I finally said, “Okay, I’m shutting down and I’m getting out of here.” So I closed it down and set it down, and next thing I know, I’m at school and Mom’s a little late and I’m racing to get to Mr. Simpson’s class on time because I dreamt that it was his exam I had to take. And what the material of his exam was going to consist of was reacting appropriately to a fire drill. And we were racing to get to his class before the alarm class, and we didn’t make it. It went off while we were in the hall, and, you know, sound, acoustics-wise, the hall is the worst place you could be when the fire alarm goes off. Then I don’t remember too much more, and then I woke up."
457,"Ok this was interesting I went in and out of lucidity throughout this dream. I was at my mom's house and was sleeping over. I was sleeping in my old room. I had arranged my bed like a chaise lounge. Anyway I went to sleep. At about  she came home and I woke up, I said hi and then she went to bed and I went back to sleep. Then I start dreaming . I am down stairs and suddenly I say to myself, ""I must be dreaming."" I start walking up the stairs to my room and grab this piece of paper to do a reality check. I look at some writing on it and then look away and look back and it was different, I looked away again and looked back and it was different again. Bingo I was lucid. I walk back downstairs and my mom is there. I tell my mom look at this I'm lucid. And I walk up to the window and stick my hand through it  of my fingers go through the window, she just looks on kind of confused. Then I thought I should fly but something distracted me before I could. I think I woke up again, in the dream, and then was all excited because I had gotten lucid  so I go back to sleep to try again. Now I am downstairs in my mom's living room and there are people sitting around playing cards. I realize I am dreaming again but don't really try to take control I just go with the flow. Don't remember too much about this part. Then I was looking for some food, don't remember what I found though. One other part of this dream stands out. At one point a burglar was trying to break into the house. I remember being a little scared, although he never did get in."
458,I remember a small portion where I am looking in the mirror and noticing my hair had gotten really long. I was also slimmer. My hair was still blonde and just below my shoulders.
459," Last night I had a bizarre dream. I dream that there was, first of all, there was this thing that you could record video and audio while you’re sleeping, and it looked just like my mini disc recorder. And I asked Mom to show it to me and how it worked because I was curious. And, like I said, the main unit looks just like my mini disc recorder, and there’s this magnet that connects to it, and you have to put the magnet on the front of your good foot. And you have to like put this little candle thing on your shoulder. And then you have to take this microphone thing and wrap it around in a coil sixteen times, and let it sit on the bed next to you. And I said, “Well, isn’t this going to be obvious to whoever you’re sleeping with?” And she was like, “Well, the whole purpose of it is to catch somebody who’s not sleeping with you, like ____ and his girl coming walking into the bedroom, you could record them. And how about strange! And I dreamt that I was all mixed up on the calendar, like yesterday was the day before Christmas Eve, and really in my dream I thought it was the day before Christmas Eve, but it was really like a week before. And that’s all."
460," I am at a dance with an attractive woman who has promised me a place to live. Our friendship is platonic. Afterwards we walk down a snowy moonlit street. We are happy and young. She puts her arm around my shoulder. “I like you,” she says. “I really like you.” Then we sit in her car and neck. Our kisses are sensual, giving, tender. She removes her blouse and straddles me. Outside, a small wood sign is tacked to a street lamp. Its handwritten letters state, “Kit Karson Scouts.” I raise up and embrace her. “That’s gold,” I say. “Absolute gold.” Then we make love."
461," The day after Christmas. Today I had a dream that I was at school and Dad was in class with me, kind of watching me, kind of like Mom comes in sometimes. And I was in Health class, and we had this substitute that was just, she’s a black woman and she was just sitting back and letting the kids run wild. And Dad got so mad about that, he was going to call the school and everything and do everything he could to get her fired. And I said to myself, “I’m never having him come into school again.” And then I dreamt that the school had this like system of boardwalks and planks and exits and levels and stuff, and I wanted to get to the very tippy top. And I can’t remember exactly, but I told Dad I would meet him at : o’clock, and I was like walking around these different places and things, and I came down this dive ramp thing, I like walked down it and I was in the water. Dad was right there at the bottom of it, talking to somebody, and I like waded around in the water until it was time. And then I dreamt that I was at home and involved with concert information from Mrs. Dougherty. And I was just going to take it to the monitor and read it, and then I woke up."
462,"Ok first I am in a plane. I am sitting on the floor for some reason instead of in my seat. I look to my left and see another plane  come really close to our plane. Then I feel it hit. I suddenly know we are going to crash. I can feel the plane shaking. I didn't time to get into my seat and put my seat belt on so I just curled up into a ball against the seat and waited for us to crash. We hit the ground and I am expecting all this stuff to come flying down the aisle from the impact but instead we land with no problem. We exit the plane into what appears to be a very small airport. They tell us they will bring the luggage to us. They start bringing the luggage out and they just pile it all up in the street. It's night time and quite dark out. I spot my peice of luggage and grab it. Then I spot a purse I recognize and grabbed that too so no one would steal it. As I am doing that some guy comes up and grabs someone else's purse and starts to walk off. I scream out ""Someone stop him!"" and this blonde guy grabs him and gets the purse. He hands it to me and we look inside to identify whose it was. It had some papers in it but not much else. The purse was kind of ugly and cream colored. I don't remember what happened to that purse. Now I had picked up a purse as well it was black and had some kind of insignia on it. I went up to my friend and asked her if it was hers. She said no but she thought it was so-and-so's. Don't remember the name. So I went up to that person and it was her purse so I gave it to her. Then there was some other girl there who I walked up to. I handed her a check for $ and told her it was for something nice that she had done. I remember thinking in the dream that I couldn't wait to get home to tell everyone about this plane crash. Then I woke up slightly and realized it was all just a dream, I was very relieved."
463,"I only remember a portion of this dream but I know there was more. I was on a list to be in some contest. I don't remember specifics except I had to carry this girl  to a certain destination and by the time we got there she would have to be awake . The winner would win something. So I am running through streets and alleys, then I come upon this one guy, I think he was in the contest too. It appeared I would clearly win. I stopped and we were talking. He said he would pay me if I gave him the girl. I said ""OK for $."" Then he countered and said $, so I countered and said $. He agrees and hands me a VISA. I look at him like, um I don't take credit cards you dumb ass when suddenly the girl woke up, which is what I needed to win, so I said screw it. And handed him his credit card back. That's all I remember."
464,"I am back in school. It's present time and I am in a class, but not sure what subject we were studying. The teacher was an older lady, blonde hair. Towards the end of the class I have to go to the bathroom. I go down the hall to the bathroom, it's kind of dark and dreary. I go into the stall and sit down. Next to me is this small table with stuff on it. I looked around the table and first I see a contact lens case, the kind you get from the doctor that has the lens in it with the vision info on the case etc. I looked at the case and it said the strength of that contact was .. Then I see this small container and something is in it. It's extremely small probably  inches high and about an inch wide. I hold it up and it looks like some kind of reptile inside, emmersed in water. It was very odd looking. Was kind of spotted and had a little horn, some what resembling a frog. I was thinking to myself why is all this stuff in the stall? Then girl walks up, the stall walls are very low, and explains that it's her stuff. Then we start talking. Then this guy walks in, he was a student from the class I was just in and was coming in to check on me. I got really pissed off. Finally I was like ""look people would you fucking leave so I can wipe my ass and get back to class?"" haha... So they left, I finished up and went back to class. The class was empty except for the teacher and one student. There were all these formula's written all over the board up front. It wasn't a black board though it was a white board that you can use marker on and the writing was in blue. I walked up to the teacher and apologized for taking so long and then let her know I was really pissed off that that guy came in to check up on me. She gave me some explanation and then I left. Now it was time to go to chemistry class but of course I couldn't find my schedule. I am walking down the hall and / of the classrooms are barracaded and closed off. I keep walking hoping I will find where I need to go. Then I come to what looks like a section of a mall, there are all these stores. I go up to the information desk and ask if they have any class schedules, they say no but that So and So Rib place has some. Then I bump into this black guy, he is lost too and has no map or schedule either. We start walking together trying to find this Rib place. This is the wild part we were walking in front of these stores which were up on the  floor, there was no railing to keep people from falling down to the first floor. So we walk into this hair salon and ask if we can go out the back. There were  women in the salon. We open the back door and it leads to a street so we realize that's not where we want to go. We walk back out of the hair salon and on my way out I bump into a cigarette machine and it starts to tip over. I catch it and I remember looking behind it as I was putting it back into place and I saw a pack of cigarettes sticking out of the back. I put it back in place and head out of the store. Then I tell the black guy that I think I have a schedule on me somewhere and start looking through my purse. I asked him what class he was going to and he said ""Chemistry"". I said that I was too so at least we could be late together. I had no luck finding my schedule though and we were a bit worried because we didn't want to get kicked out of the class for being late. He was worried about getting detention and I reminded him this was college and they wouldn't give him detention for being late. We never did find the rib place or the damn class. I woke up."
465," I had a dream that there was this lady, one of my teachers, I guess – who had this box of CD’s and she wanted me to go through them and pick out a few of them that I wanted. So I went through them and they all looked kind of blah except for these two. They were both done by Celine Dion. One was called “The Little Green Captains” and it was like a real cartoony cover. But I had the notion that it was one of Celine Dion’s first albums, so I picked that one out. And there was another called “The Swedes” – you know, like people from Sweden, the Swedes. And it was the soundtrack to a musical where Celine Dion was the main girl in it, and it was done kind of like in opera except it was sung with regular voices and not operatic voices. And here’s how the story line basically went: there was this girl who lived in this big house and she was sick and tired of being a servant. And that’s the girl that Celine Dion played. And her two sisters were kind of competing to marry this rich guy, and one of the sisters died and one of the sisters found somebody else. And the rich guy was kind of left hanging, and the servant girl ended up marrying the rich guy and got out of being a servant, which is what she wanted. And there were, this CD, this story was told in songs on this CD. And I had this like baby CD player in my closet that I was playing this CD on, and it was light blue and it had like red buttons on it. And it was like for babies. And I’m in my closet listening to this, with my door closed, and Mom needed me to come downstairs for something, and then I woke up. But that was kind of cool. You know, maybe she will play in a movie. Singers who like go and act, I think they kind of get distracted from their singing. So it’s good that she never tried to act."
466," Last night I had a dream that we were having some people over, and this girl who was sitting next to me – oh no, it wasn’t just one girl, it was three or four kids my own age who wanted me to show them my sound equipment. Oh, I know what it was now! I had set up, well, first of all, I dreamt that all of my sound equipment resided on the computer desk downstairs and that the PC was really the Mac that ran this little performer, and it was all down there. And I had set it up in just a certain way, and there were these three or four people who wanted to see it, how it worked. And all of a sudden the three or four people dwindled down to one girl, and so I explained the difference between the two mixers – the Peavey and the tascam – but in my dream they were both black. Then this girl turns on the computer and she’s waiting for it to start up, and she doesn’t see a desktop right away and she gets a little alarmed, like, “Hey! Where does this reside in the…” and then she was like, “This program, Digital Performer you’re talking about, where does it reside?” And I was like, “Just be patient; it will come up.” And so when it came up, the desktop was green and I showed her the icon as to where to go and stuff, and I don’t remember too much about what she saw when she got in the program or what her reaction to it was. But I do remember all of a sudden there were a ton of people, like Uncle Carl and Aunt Joyce and a bunch of other family people and a bunch of the Fire Department people. And all of a sudden they wanted me to sing for them, so I go up and I start warming up. Now, you know that when I set up my equipment, I know at least a day in advance so I have a whole half an hour to set it up, to get ready to be amplified on the system. Well, I just wanted to have some accompaniment this time, and I had some stuff started on the CD RW, but my CD recorder is the only one that’ll play CD RW’s, so I was really in a rock and a hard place because what I was fixing to do was record it onto a tape and play the tape on Mom’s boom box while I sang along and not involve the sound system this time, which is what I did, and I came downstairs with the boom box and I set it up, and all the people were gone. There was only like one person and Dad in the living room. And Dad was like, “You’d better go out there and yell to them. They’re all in their cars.” And so I went out there, and I yelled, “Hey, you guys!” And they were all gone. But the bird was just going nuts, screeching and screeching and screeching. So I yelled at him, I was going, “Hey, Archie, stop!” And at that point some car honked its horn. It had a really funny sound to it. And then I went back inside, and I figured, “Well, that’s a wash. That was a lot of work for nothing.” And even the girl was gone, who was supposedly looking at Digital Performer. And so I went upstairs and I was arranging some stuff back to the way it was, and I realized that I had left the sub on from the last time I had the sound system on, and you know how they require more power and so they have their own amplifiers. So you gotta click the switch on and off, so I forgot to click the switch off and I could hear that it had a little bit of chubba chubba chubba chubba sound, which meant there was an internal cooling fan cooling it off. And so I figured I’ll shut it off so it’ll quit getting hot and it’ll cool itself off. So I reach down, I clicked the switch off, but when I did that, its fan like kicked in full force and it blew all this warm air out at me, and I was like so spooked by that and I ran out of my studio with a yell! And that was funny! And I was still spooked and I jumped up on my bed, and I set my hand down and there was a moth ball under my covers, but I got so scared, I thought it was either a mouse or something. So I screamed again. And Dad was like, “Are you alright?” And then I woke up. That was crazy, man."
467," I had two dreams last night. I dreamt that, first of all, I was at school and Mom and Dad were going to pick me up. And I was going out to the truck and I realized I forgot my book bag, so I had to say, “Hold on a second, I’ve gotta get something and I’ll be back real fast.” So I went in, there was a whole crowd of people in the courtyard and I found where I had dumped it. And I went out and that was that. I went home. "
468," And then I dreamt that Mom and I were getting ready to take a walk somewhere, and we were sitting in chairs at the house next door to Joan’s house, just kind of resting for a minute and Dad was watering his trees. He started yelling at Mom for something and then he started walking away. And I picked up a cinder block that was sitting in the sand and I threw it at him, but I didn’t hit him fortunately. And he turns around and he throws it back at us, but he doesn’t hit us, fortunately. That was weird. And this is the most startling and weird part of all. It wasn’t scary, but it was weird. It was disappointing. I dreamt that Mom’s Bose wave radio CD and her boom box both needed batteries to run. Her Bose thing needed AA’s and the boom box needed C’s, like it’s always needed. And I dreamt that they were both prone to falling out of the machine, and with both machines, if the batteries would fall out while the machine is playing, it would start making this, “Doo, doo, doo, doo, doo, doo” sound instead of your audio. And you’d think if it would still have enough power to make that sound, you’d think it would have enough power to keep playing your audio, but no! So I dealt with that for a while, and in my dream it was scary, and so I was thinking up all kinds of ways to tape the – the thing of it is, I don’t think the boom box had a door to keep them in and so they would fall out. And so I thought of taping them, but I woke up before I could do that."
469," Last night I dreamt that somehow I got pregnant, but not by making out with some guy. I think Mom took me to the doctor and had an egg implanted in me or something, and I got pregnant. And I was going to have a baby that was going to be just like me, so that when I grew up and was out of the house, she would still have a Jessie to raise. And so we were at the beach and I was going to have the baby in the salt water to make things a lot easier and to make it so I wouldn’t have to go through so much pain of labor and stuff. And I started having the baby and the head popped out, and I was asking Mom, “Does my body naturally push or do I have to act like I’m going poop?” And she said, “It naturally happens,” and the baby was starting to come out and we were going out deeper and deeper into the water. And then when the baby’s body started coming out, it was like really, really painful and Mom was like lifting me up to the top of the water and putting me down in the water, and lifting me out of the water and putting me down in the water, thinking that it might shake the baby out. And then the baby came out and fell down to the bottom of the water and was going to drown, so we pulled it out real quick and we raced up to the shore. And there was a whole hullabaloo going on up there. I don’t remember why though. And there were these clowns and things running around, and we got out and showered off like nothing happened, and then we were going back to the water. And this woman was there, and she said, “Is that….?” I had to tell her that this baby was Mom’s granddaughter, and oh, it was weird, and I don’t remember too much more."
